model_id,label,parameters,best_epoch,best_valid_loss,final_epoch,final_train_loss,final_valid_loss,total_training_seconds,greedy_bleu,greedy_chrf
lstm_no_attention,LSTM no attention,8534474,9,2.1719555077088617,14,0.9891154744914079,2.226636076530524,355.664033398964,20.46884762591954,43.88261832459875
lstm_attention,LSTM attention,9124298,13,1.9562223262533678,18,0.8531262354486269,2.016518550408625,645.799936001655,27.309644894819208,49.54956633988433
gated_attention,Gated attention,9567434,14,1.9568738340445324,19,0.7772488395629709,2.0352844478894125,954.5310312006623,25.965621591958236,49.601161908773385
transformer_small,Small Transformer,9508042,11,1.8265231856202657,16,1.0849272192503971,1.859501098666571,170.1601721998304,25.939559187170754,52.015681134763156
